{'#8': [33.3, 17.2, 34.4, 4.3, 7.5, 2.2, None, 1.1, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Intro to Agr & Applied Econ', '#7': 3.283, '#6': 93, '#5': '001', '#4': '215'}
{'#8': [58.3, 33.3, 8.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballet Technique I-B', '#7': 3.75, '#6': 12, '#5': '001', '#4': '126'}
{'#8': [55.6, 14.8, 14.8, None, 3.7, None, 3.7, None, 3.7, None, None, None, 3.7, None, None], '#3': 741, '#2': 'EDU', '#1': 'Somatic Theory and Practices', '#7': 3.52, '#6': 27, '#5': '001', '#4': '131'}
{'#8': [97.1, None, None, None, None, None, None, 2.9, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Somatic Theory and Practices', '#7': 4.0, '#6': 34, '#5': '001', '#4': '135'}
{'#8': [55.9, 23.5, 5.9, None, 2.9, 8.8, None, 2.9, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Somatic Theory and Practices', '#7': 3.485, '#6': 34, '#5': '002', '#4': '135'}
{'#8': [70.0, 16.7, 6.7, None, 3.3, None, 3.3, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Somatic Theory and Practices', '#7': 3.65, '#6': 30, '#5': '003', '#4': '135'}
{'#8': [65.7, 17.1, 8.6, 2.9, None, None, None, 5.7, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Somatic Theory and Practices', '#7': 3.773, '#6': 35, '#5': '004', '#4': '135'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance Production', '#7': 4.0, '#6': 9, '#5': '001', '#4': '140'}
{'#8': [94.7, None, None, None, None, None, None, 5.3, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Movemnt as Matl Thru Improv', '#7': 4.0, '#6': 19, '#5': '001', '#4': '156'}
{'#8': [90.0, 5.0, 5.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Intro-Movement Analysis', '#7': 3.925, '#6': 20, '#5': '001', '#4': '157'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Collaborative Arts Workshop', '#7': 4.0, '#6': 14, '#5': '001', '#4': '159'}
{'#8': [43.3, 26.7, 23.3, 6.7, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Collaborative Arts Workshop', '#7': 3.533, '#6': 30, '#5': '001', '#4': '165'}
{'#8': [55.6, 33.3, 11.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Collaborative Arts Workshop', '#7': 3.722, '#6': 18, '#5': '002', '#4': '165'}
{'#8': [82.1, 10.3, 5.1, None, None, None, None, 2.6, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'World Dance Cultures', '#7': 3.895, '#6': 39, '#5': '001', '#4': '2'}
{'#8': [79.5, 6.8, 2.3, 2.3, None, 2.3, None, 2.3, None, None, None, None, 4.5, None, None], '#3': 741, '#2': 'EDU', '#1': 'World Dance Cultures', '#7': 3.829, '#6': 44, '#5': '002', '#4': '2'}
{'#8': [84.2, 7.9, 7.9, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'World Dance Cultures', '#7': 3.882, '#6': 38, '#5': '003', '#4': '2'}
{'#8': [64.3, 28.6, 7.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballroom Dance I', '#7': 3.786, '#6': 14, '#5': '001', '#4': '212'}
{'#8': [80.0, 20.0, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballroom Dance I', '#7': 3.9, '#6': 15, '#5': '002', '#4': '212'}
{'#8': [69.2, 15.4, None, None, 7.7, None, None, 7.7, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballet II', '#7': 3.75, '#6': 13, '#5': '001', '#4': '22'}
{'#8': [52.2, 34.8, 8.7, None, None, None, None, None, None, None, None, None, 4.3, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballet II', '#7': 3.735, '#6': 23, '#5': '001', '#4': '226'}
{'#8': [88.9, None, 11.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballet II', '#7': 3.889, '#6': 9, '#5': '002', '#4': '226'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance Production Laboratory', '#7': 4.0, '#6': 6, '#5': '001', '#4': '240'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Collaborative Arts Perform Lab', '#7': 4.0, '#6': 16, '#5': '001', '#4': '259'}
{'#8': [86.7, 13.3, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballroom Dance II', '#7': 3.933, '#6': 30, '#5': '001', '#4': '3'}
{'#8': [80.0, 10.0, None, None, 10.0, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Contemp Dance Tech & Th VI', '#7': 3.833, '#6': 10, '#5': '001', '#4': '312'}
{'#8': [44.4, 44.4, 11.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Ballet Technique III-B', '#7': 3.667, '#6': 9, '#5': '001', '#4': '326'}
{'#8': [54.5, 45.5, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Pilates Equipment Lab III', '#7': 3.773, '#6': 11, '#5': '001', '#4': '336'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Sound Dsgn-Perf/Visual Arts', '#7': None, '#6': 5, '#5': '002', '#4': '341'}
{'#8': [75.0, 25.0, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance History II: Contemporary', '#7': 3.875, '#6': 12, '#5': '001', '#4': '365'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance History II: Contemporary', '#7': None, '#6': 1, '#5': '003', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance History II: Contemporary', '#7': None, '#6': 1, '#5': '011', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance History II: Contemporary', '#7': None, '#6': 2, '#5': '020', '#4': '399'}
{'#8': [77.8, None, None, None, 11.1, None, None, None, None, None, None, None, 11.1, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance Therapy Practicum', '#7': 3.75, '#6': 9, '#5': '001', '#4': '431'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance Repertory Theater', '#7': 4.0, '#6': 19, '#5': '001', '#4': '452'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Dance Composition III', '#7': None, '#6': 5, '#5': '001', '#4': '455'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Senior Project', '#7': 4.0, '#6': 8, '#5': '001', '#4': '463'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Senior Project', '#7': None, '#6': 3, '#5': '004', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 741, '#2': 'EDU', '#1': 'Senior Project', '#7': None, '#6': 1, '#5': '020', '#4': '699'}
{'#8': [12.9, 13.7, 17.3, 12.5, 31.0, 10.2, 2.4, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Exercise,Nutrition,&Health', '#7': 2.551, '#6': 255, '#5': '001', '#4': '100'}
{'#8': [87.0, 13.0, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Exercise,Nutrition,&Health', '#7': 3.935, '#6': 23, '#5': '001', '#4': '116'}
{'#8': [66.7, 29.2, 4.2, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Exercise,Nutrition,&Health', '#7': 3.813, '#6': 24, '#5': '002', '#4': '116'}
{'#8': [58.9, 16.7, 22.2, None, 1.1, None, None, None, None, None, None, None, 1.1, None, None], '#3': 742, '#2': 'EDU', '#1': 'Introduction to Kinesiology', '#7': 3.669, '#6': 90, '#5': '001', '#4': '119'}
{'#8': [88.2, 5.9, 5.9, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Introduction to Kinesiology', '#7': 3.912, '#6': 17, '#5': '001', '#4': '123'}
{'#8': [89.5, None, None, None, 5.3, None, None, None, None, None, None, None, 5.3, None, None], '#3': 742, '#2': 'EDU', '#1': 'Introduction to Kinesiology', '#7': 3.889, '#6': 19, '#5': '002', '#4': '123'}
{'#8': [None, None, None, None, None, None, None, 84.2, None, None, None, None, None, None, 15.8], '#3': 742, '#2': 'EDU', '#1': 'Living well: LIfestyle balance', '#7': None, '#6': 19, '#5': '001', '#4': '125'}
{'#8': [10.5, None, None, None, None, None, None, 78.9, None, None, None, None, None, None, 10.5], '#3': 742, '#2': 'EDU', '#1': 'Living well: LIfestyle balance', '#7': 4.0, '#6': 19, '#5': '002', '#4': '125'}
{'#8': [5.6, None, None, None, None, None, None, 94.4, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Living well: LIfestyle balance', '#7': 4.0, '#6': 18, '#5': '003', '#4': '125'}
{'#8': [11.8, None, None, None, None, None, None, 82.4, None, None, None, None, None, None, 5.9], '#3': 742, '#2': 'EDU', '#1': 'Living well: LIfestyle balance', '#7': 4.0, '#6': 17, '#5': '004', '#4': '125'}
{'#8': [41.7, 33.3, 16.7, 2.8, 2.8, None, None, 2.8, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Intro to Athletic Training', '#7': 3.557, '#6': 36, '#5': '001', '#4': '127'}
{'#8': [27.8, 11.1, 27.8, 22.2, 5.6, None, None, 5.6, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Sci&Pract Resistance Training', '#7': 3.176, '#6': 18, '#5': '001', '#4': '140'}
{'#8': [83.3, None, 5.6, None, 11.1, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Choosing To Move', '#7': 3.722, '#6': 18, '#5': '001', '#4': '145'}
{'#8': [38.1, 52.4, 9.5, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Choosing To Move', '#7': 3.643, '#6': 21, '#5': '001', '#4': '197'}
{'#8': [35.7, 50.0, 14.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Choosing To Move', '#7': 3.607, '#6': 14, '#5': '002', '#4': '197'}
{'#8': [24.5, 28.3, 24.5, 15.1, 5.7, None, None, None, None, None, None, None, None, None, 1.9], '#3': 742, '#2': 'EDU', '#1': 'Intro to Clinical Anat Hum Mov', '#7': 3.26, '#6': 53, '#5': '001', '#4': '227'}
{'#8': [70.6, 11.8, 17.6, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Kendo:Intgratn-Mrtl&Lib Art', '#7': 3.765, '#6': 17, '#5': '001', '#4': '277'}
{'#8': [96.3, None, None, None, None, None, None, None, None, None, None, None, 3.7, None, None], '#3': 742, '#2': 'EDU', '#1': 'Kendo:Intgratn-Mrtl&Lib Art', '#7': 4.0, '#6': 27, '#5': '001', '#4': '300'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Kendo:Intgratn-Mrtl&Lib Art', '#7': 4.0, '#6': 48, '#5': '002', '#4': '300'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Kendo:Intgratn-Mrtl&Lib Art', '#7': None, '#6': 2, '#5': '003', '#4': '300'}
{'#8': [18.3, 40.0, 38.3, 3.3, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Physiology of Exercise', '#7': 3.367, '#6': 60, '#5': '001', '#4': '314'}
{'#8': [44.4, 55.6, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Assessmnt & Rsch-Phys Activity', '#7': 3.722, '#6': 9, '#5': '001', '#4': '315'}
{'#8': [62.5, 37.5, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Adapted Physical Activity', '#7': 3.813, '#6': 8, '#5': '001', '#4': '316'}
{'#8': [37.5, 43.8, 8.3, 6.3, 4.2, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Biomechanics of Human Movement', '#7': 3.521, '#6': 48, '#5': '001', '#4': '318'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Group Develop & Behav Manage', '#7': 4.0, '#6': 30, '#5': '001', '#4': '325'}
{'#8': [90.9, 9.1, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Curr Topic-Outdoor Pursuits', '#7': 3.955, '#6': 11, '#5': '001', '#4': '327'}
{'#8': [59.6, 32.7, 7.7, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Research in Kinesiology', '#7': 3.76, '#6': 52, '#5': '001', '#4': '330'}
{'#8': [60.0, 21.7, 13.3, 3.3, None, 1.7, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Intro to Exercise Psychology', '#7': 3.658, '#6': 60, '#5': '001', '#4': '350'}
{'#8': [73.7, 21.1, 5.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Soc-Cult of Phys Act', '#7': 3.842, '#6': 19, '#5': '001', '#4': '355'}
{'#8': [77.8, 22.2, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Therapeutic Strategies I', '#7': 3.889, '#6': 18, '#5': '001', '#4': '357'}
{'#8': [83.9, 9.7, 6.5, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Lifespan Motor Development', '#7': 3.887, '#6': 31, '#5': '001', '#4': '360'}
{'#8': [46.2, 25.6, 15.4, 7.7, 2.6, 2.6, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Motor Learning&Performance', '#7': 3.474, '#6': 39, '#5': '001', '#4': '361'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Pract:Adapted Physical Educ', '#7': None, '#6': 5, '#5': '001', '#4': '365'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Plan, Teach & Assess Phys Ed', '#7': 4.0, '#6': 9, '#5': '001', '#4': '370'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Mthds of Tchng Games & Fitness', '#7': None, '#6': 5, '#5': '001', '#4': '372'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Mthds of Tchng Games & Fitness', '#7': None, '#6': 1, '#5': '001', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Mthds of Tchng Games & Fitness', '#7': None, '#6': 1, '#5': '002', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 2, '#5': '005', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 2, '#5': '009', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 1, '#5': '015', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 1, '#5': '021', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 1, '#5': '022', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 3, '#5': '043', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 3, '#5': '044', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 2, '#5': '045', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 1, '#5': '046', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 3, '#5': '047', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 1, '#5': '048', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'KINESIOLOGY', '#7': None, '#6': 1, '#5': '049', '#4': '399'}
{'#8': [62.5, 37.5, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Org&Admin-Ath Training Prgm', '#7': 3.813, '#6': 16, '#5': '001', '#4': '400'}
{'#8': [47.4, 10.5, 42.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Fitness Test & Exer Prescript', '#7': 3.526, '#6': 19, '#5': '001', '#4': '427'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Fitness Test & Exer Prescript', '#7': 4.0, '#6': 7, '#5': '001', '#4': '450'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Fitness Test & Exer Prescript', '#7': 4.0, '#6': 10, '#5': '002', '#4': '450'}
{'#8': [44.4, 33.3, 22.2, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Med Probs-Exercise & Sports', '#7': 3.611, '#6': 18, '#5': '001', '#4': '457'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Seminar-Athletic Training', '#7': 4.0, '#6': 18, '#5': '001', '#4': '475'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Elem Sch Phy Ed Stdt Tchg', '#7': None, '#6': 5, '#5': '001', '#4': '478'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Secondary-Phys Ed Stdt Tchg', '#7': None, '#6': 5, '#5': '001', '#4': '479'}
{'#8': [81.0, 12.1, 5.2, None, 1.7, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Health Info for Teachers', '#7': 3.853, '#6': 58, '#5': '001', '#4': '501'}
{'#8': [88.9, None, 11.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Health Info for Teachers', '#7': 3.889, '#6': 9, '#5': '001', '#4': '508'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Health Info for Teachers', '#7': None, '#6': 3, '#5': '002', '#4': '508'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Health Info for Teachers', '#7': None, '#6': 3, '#5': '003', '#4': '508'}
{'#8': [52.4, 33.3, 7.1, 7.1, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Clinic Exercise Test&Train', '#7': 3.655, '#6': 42, '#5': '001', '#4': '523'}
{'#8': [36.4, 27.3, 27.3, 9.1, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Nutrition, Fitness and Health', '#7': 3.455, '#6': 11, '#5': '001', '#4': '525'}
{'#8': [85.2, 14.8, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Neural Control of Movement', '#7': 3.926, '#6': 27, '#5': '001', '#4': '531'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Org&Adm-School Hlth Progms', '#7': None, '#6': 3, '#5': '001', '#4': '541'}
{'#8': [50.0, 11.5, 34.6, 3.8, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Biol Factors-Exercise Perf', '#7': 3.538, '#6': 26, '#5': '001', '#4': '614'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Biol Factors-Exercise Perf', '#7': None, '#6': 1, '#5': '004', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Biol Factors-Exercise Perf', '#7': None, '#6': 1, '#5': '006', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Biol Factors-Exercise Perf', '#7': None, '#6': 1, '#5': '009', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Biol Factors-Exercise Perf', '#7': None, '#6': 2, '#5': '011', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Biol Factors-Exercise Perf', '#7': None, '#6': 4, '#5': '036', '#4': '699'}
{'#8': [55.6, 22.2, 16.7, None, 5.6, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Psychological Effects-Exercise', '#7': 3.611, '#6': 18, '#5': '001', '#4': '700'}
{'#8': [75.0, 12.5, 12.5, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Hum Muscl Func/Hlth&Disease', '#7': 3.813, '#6': 8, '#5': '001', '#4': '779'}
{'#8': [33.3, 52.4, 9.5, 4.8, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Physical Activity Epidemiology', '#7': 3.571, '#6': 21, '#5': '001', '#4': '791'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Seminar-Occupation & Health', '#7': None, '#6': 5, '#5': '001', '#4': '885'}
{'#8': [None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Seminar in Kinesiology', '#7': None, '#6': 19, '#5': '001', '#4': '900'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Seminar-Biomechanics', '#7': None, '#6': 5, '#5': '001', '#4': '951'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': 4.0, '#6': 8, '#5': '001', '#4': '953'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '001', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '002', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 2, '#5': '004', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '005', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '006', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '008', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '009', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 3, '#5': '015', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 2, '#5': '022', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '030', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 3, '#5': '032', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Human Biodynamics Seminar', '#7': None, '#6': 1, '#5': '033', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Research or Thesis', '#7': None, '#6': 1, '#5': '008', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 742, '#2': 'EDU', '#1': 'Research or Thesis', '#7': None, '#6': 1, '#5': '015', '#4': '999'}
