990 040 3		***						.	.	.	.	.	..
990 071 1		***						.	.	.	.	.	..
990 074 2		***						.	.	.	.	.	..
Research and Thesis Course Total 10			.  .  .  .  .  .		.	90.0	.	.	.	10.0		.  .	.  .
490 I SY E Dept. Total 1321		3.824	71.8 12.0 4.2 0.7 0.5 0.9		.	9.5	0.2	0.2	.	0.2		.  .	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA490 I SY EGrades													
Freshmen 12		3.786	91.7 .  8.3 .  .  .		.	.	.	.	.	.		.  .	.  .
Sophomore 64		3.817	76.6 9.4 3.1 1.6 .  .		.	9.4	.	.	.	.		.  .	.  .
Junior 244		3.847	76.6 11.9 2.9 0.8 .  0.8		.	7.0	.	.	.	.		.  .	.  .
Senior 693		3.829	73.4 13.4 4.9 0.4 0.6 0.7		.	6.3	0.1	.	.	.		.  .	.  .
Undergraduates 1013		3.833	74.6 12.6 4.3 0.6 0.4 0.7		.	6.6	0.1	.	.	.		.  .	.  .
Special 42		3.250	54.8 9.5 7.1 7.1 4.8 11.9		.	4.8	.	.	.	.		.  .	.  .
Graduate 264		3.897	63.6 10.2 3.0 .  .  .		.	21.2	0.4	0.8	.	0.8		.  .	.  .
Prof Yr 2 2		***						.	.	.		.  .	.  .
Professionals 2		***						.	.	.		.  .	.  .
Dept. Total 1321		3.824	71.8 12.0 4.2 0.7 0.5 0.9		.	9.5	0.2	0.2	.	0.2		.  .	.  .
August 24, 2020													Page 140 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
EGR														
INTERDIS COURSES  (ENGR) Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
496 INTEREGR Grades		GPA												
170 001 104		3.933	89.4 7.7 2.9 ...	.		.	.	.	.	.		.	.	..
170 002 105		3.933	88.6 9.5 1.9 ...	.		.	.	.	.	.		.	.	..
Design Practicum Course Total 209		3.933	89.0 8.6 2.4 .  .  .		.	.	.	.	.	.			.  .	.  .
601 001 25		3.833	64.0 32.0 ....	.		4.0	.	.	.	.		.	.	..
601 003 7		3.857	71.4 28.6 ....	.		.	.	.	.	.		.	.	..
Topics-Interdis Engineering Course Total 32		3.835	65.6 31.3 .  .  .  .		.	3.1	.	.	.	.			.  .	.  .
496 INTEREGR Dept. Total 241		3.922	85.9 11.6 2.1 .  .  .		.	0.4	.	.	.	.			.  .	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA496 INTEREGRGrades														
Freshmen 39		3.849	76.9 17.9 5.1 .  .  .		.	.	.	.	.	.			.  .	.  .
Sophomore 244		3.940	93.4 5.3 1.2 .  .  .		.	.	.	.	.	.			.  .	.  .
Junior 166		3.964	98.8 1.2 .  .  .  .		.	.	.	.	.	.			.  .	.  .
Senior 37		3.808	83.8 13.5 .  .  .  .		.	2.7	.	.	.	.			.  .	.  .
Undergraduates 486		3.923	93.2 5.6 1.0 .  .  .		.	0.2	.	.	.	.			.  .	.  .
Graduate 5		***						.	.	.			.  .	.  .
Dept. Total 491		3.922	93.1 5.7 1.0 .  .  .		.	0.2	.	.	.	.			.  .	.  .
August 24, 2020														Page 141 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
EGR														
MECHANICAL ENGINEERING Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
612 M E Grades		GPA												
Cooperative Education Prog 1 001	38	3.961	94.7 2.6 2.6 ...	.		.	.	.	.	.		.	.	..
170 001	21	3.389	23.8 28.6 28.6 .4.8 .	.		14.3	.	.	.	.		.	.	..
170 002	16	3.136	12.5 18.8 31.3 ..6.3	.		31.3	.	.	.	.		.	.	..
170 003	12	3.650	50.0 8.3 25.0 ...	.		16.7	.	.	.	.		.	.	..
Civil Engineering Graphics Course Total	49	3.385	26.5 20.4 28.6 .  2.0 2.0	.		20.4	.	.	.		.		.  .	.  .
Intro to Mech Eng 201 001	111	3.606	43.2 25.2 11.7 3.6 ..	0.9		15.3	.	.	.	.		.	.	..
Geometric Modeling 231 001	187	3.644	43.9 19.3 17.6 0.5 0.5 .	.		18.2	.	.	.	.		.	.	..
Dynamics 240 001	118	3.547	34.7 25.4 15.3 5.9 ..	.		17.8	0.8	.	.	.		.	.	..
Undergrad Mech Engr Project 291 050	15	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
299 015	1	***						.	.	.		.	.	..
299 027	1	***						.	.	.		.	.	..
299 100	1	***						.	.	.		.	.	..
Independent Study Course Total	3	***												
306 001	77	3.540	33.8 28.6 15.6 2.6 .1.3	.		18.2	.	.	.	.		.	.	..
306 003	86	3.595	38.4 30.2 14.0 2.3 1.2 .	.		10.5	3.5	.	.	.		.	.	..
Mechanics of Materials Course Total	163	3.569	36.2 29.4 14.7 2.5 0.6 0.6	.		14.1	1.8	.	.		.		.  .	.  .
307 001	9	3.500	22.2 66.7 .11.1 ..	.		.	.	.	.	.		.	.	..
307 002	10	3.556	40.0 20.0 30.0 ...	.		10.0	.	.	.	.		.	.	..
307 003	12	3.591	41.7 25.0 25.0 ...	.		8.3	.	.	.	.		.	.	..
307 004	8	3.688	62.5 12.5 25.0 ...	.		.	.	.	.	.		.	.	..
307 005	11	3.773	63.6 27.3 9.1 ...	.		.	.	.	.	.		.	.	..
307 006	10	3.900	80.0 20.0 ....	.		.	.	.	.	.		.	.	..
307 007	9	3.500	22.2 44.4 22.2 ...	.		11.1	.	.	.	.		.	.	..
307 008	9	3.563	11.1 77.8 ....	.		11.1	.	.	.	.		.	.	..
307 009	6	3.833	66.7 33.3 ....	.		.	.	.	.	.		.	.	..
307 010	12	3.800	58.3 16.7 8.3 ...	.		16.7	.	.	.	.		.	.	..
307 011	7	3.786	71.4 14.3 14.3 ...	.		.	.	.	.	.		.	.	..
307 012	8	3.938	87.5 12.5 ....	.		.	.	.	.	.		.	.	..
307 013	10	3.750	50.0 20.0 10.0 ...	.		20.0	.	.	.	.		.	.	..
307 014	5	***						.	.	.		.	.	..
307 015	7	3.500	14.3 28.6 14.3 ...	.		42.9	.	.	.	.		.	.	..
Mechanics of Materials Lab Course Total	133	3.697	48.9 30.8 11.3 0.8 .  .	.		8.3	.	.	.		.		.  .	.  .
313 001	66	3.583	27.3 31.8 12.1 1.5 ..	.		27.3	.	.	.	.		.	.	..
313 002	57	3.573	28.1 40.4 15.8 ...	.		15.8	.	.	.	.		.	.	..
Manufacturing Processes Course Total	123	3.578	27.6 35.8 13.8 0.8 .  .	.		22.0	.	.	.		.		.  .	.  .
314 001	77	3.537	26.0 41.6 19.5 ...	.		13.0	.	.	.	.		.	.	..
314 002	57	3.512	21.1 36.8 12.3 3.5 ..	.		26.3	.	.	.	.		.	.	..
Manufacturing Fundamentals Course Total	134	3.528	23.9 39.6 16.4 1.5 .  .	.		18.7	.	.	.		.		.  .	.  .
Computer-Aided Engineering 331 001	81	3.688	55.6 14.8 14.8 3.7 ..	.		9.9	.	.	.	.		1.2	.	..
Dynamic Systems 340 001	101	3.642	46.5 18.8 9.9 3.0 1.0 1.0	.		18.8	1.0	.	.	.		.	.	..
Design of Machine Elements 342 001	105	3.712	58.1 27.6 2.9 3.8 1.0 1.0	.		5.7	.	.	.	.		.	.	..
August 24, 2020														Page 142 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
EGR													
MECHANICAL ENGINEERING Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
612 M E Grades		GPA											
Engineering Design Projects 349 001	18	3.643	33.3 33.3 11.1 ...	.	22.2	.	.	.	.		.	.	..
Interdis Exper Dsgn Projects I 351 001	42	3.927	83.3 14.3 ....	.	2.4	.	.	.	.		.	.	..
Interdis Expr Dsgn Projects II 352 001	134	3.871	73.9 18.7 3.0 ...	.	4.5	.	.	.	.		.	.	..
361 001	50	3.660	54.0 26.0 10.0 2.0 .2.0	.	6.0	.	.	.	.		.	.	..
361 002	53	3.689	45.3 26.4 13.2 ...	.	11.3	3.8	.	.	.		.	.	..
361 003	50	3.544	48.0 20.0 14.0 6.0 ..	2.0	10.0	.	.	.	.		.	.	..
Thermodynamics Course Total	153	3.631	49.0 24.2 12.4 2.6 .  0.7	0.7	9.2	1.3	.	.		.		.  .	.  .
363 001	60	3.772	56.7 35.0 1.7 1.7 ..	.	3.3	1.7	.	.	.		.	.	..
363 002	90	3.519	44.4 22.2 15.6 1.1 2.2 3.3	.	11.1	.	.	.	.		.	.	..
Fluid Dynamics Course Total	150	3.624	49.3 27.3 10.0 1.3 1.3 2.0	.	8.0	0.7	.	.		.		.  .	.  .
Elementary Heat Transfer 364 001	122	3.241	11.5 28.7 19.7 7.4 3.3 0.8	.	27.9	0.8	.	.	.		.	.	..
Engr Measure & Instrumentation 368 001	81	3.282	11.1 12.3 17.3 7.4 ..	.	50.6	1.2	.	.	.		.	.	..
Energy Systems Laboratory 370 001	139	3.514	34.5 21.6 16.5 2.9 2.2 0.7	.	21.6	.	.	.	.		.	.	..
417 001	44	3.810	63.6 27.3 4.5 ...	.	4.5	.	.	.	.		.	.	..
417 003	1	***					.	.	.		.	.	..
Transport in Polymer Proc Course Total	45	3.814	64.4 26.7 4.4 .  .  .	.	4.4	.	.	.		.		.  .	.  .
Engr Design with Polymers 418 003	3	***					.	.	.		.	.	..
Stat Expermntl Design 424 001	11	3.600	36.4 36.4 18.2 ...	.	9.1	.	.	.	.		.	.	..
Advanced Materials Selection 437 001	22	3.452	27.3 40.9 22.7 .4.5 .	.	4.5	.	.	.	.		.	.	..
Introduction to Robotics 439 001	26	3.840	69.2 23.1 3.8 ...	.	3.8	.	.	.	.		.	.	..
447 001	27	3.238	22.2 14.8 29.6 .11.1 .	.	22.2	.	.	.	.		.	.	..
447 003	5	***					.	.	.		.	.	..
Comptr Cntrl-Machns&Process Course Total	32	3.250	18.8 21.9 31.3 .  9.4 .	.	18.8	.	.	.		.		.  .	.  .
Redesign & Prototype Fab 449 001	22	4.000	90.9 .....	.	.	.	.	.	.		9.1	.	..
Applied Thermal/Struct FE Anal 460 001	29	3.759	72.4 10.3 13.8 3.4 ..	.	.	.	.	.	.		.	.	..
Thermal Systems Modeling 461 001	21	3.500	14.3 38.1 4.8 4.8 ..	.	33.3	4.8	.	.	.		.	.	..
Welding Metallurgy 462 001	11	3.556	54.5 18.2 ...9.1	.	18.2	.	.	.	.		.	.	..
Air Pollutn-Measure&Control 466 001	5	***					.	.	.		.	.	..
Engr Princpl Off-Road Vehicles 476 001	9	3.643	33.3 33.3 11.1 ...	.	22.2	.	.	.	.		.	.	..
489 016	1	***					.	.	.		.	.	..
489 020	2	***					.	.	.		.	.	..
489 027	2	***					.	.	.		.	.	..
489 048	1	***					.	.	.		.	.	..
489 056	1	***					.	.	.		.	.	..
489 057	1	***					.	.	.		.	.	..
Honors in Research Course Total	8	4.000	100.0 .  .  .  .  .	.	.	.	.	.		.		.  .	.  .
491 015	4	***					.	.	.		.	.	..
491 035	2	***					.	.	.		.	.	..
491 050	4	***					.	.	.		.	.	..
491 057	4	***					.	.	.		.	.	..
August 24, 2020													Page 143 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
EGR														
MECHANICAL ENGINEERING Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
612 M E Grades		GPA												
491 068	2	***						.	.	.		.	.	..
491 080	2	***						.	.	.		.	.	..
491 090	1	***						.	.	.		.	.	..
Mech Engr Projects I Course Total	19	4.000	94.7 .  .  .  .  .		.	.	.	.	.		.		.  5.3	.  .
492 015	1	***						.	.	.		.	.	..
492 043	1	***						.	.	.		.	.	..
Mech Engr Projects II Course Total	2	***												
Composite Materials 508 001	7	3.857	71.4 28.6 ....	.		.	.	.	.	.		.	.	..
Inspectn,Qual Cntrl&Relblty 512 001	2	***						.	.	.		.	.	..
Mtrx Mthds in Machine Learning 532 001	7	3.417	14.3 57.1 .14.3 ..	.		14.3	.	.	.	.		.	.	..
548 001	35	3.743	74.3 14.3 5.7 2.9 .2.9	.		.	.	.	.	.		.	.	..
548 003	11	3.909	81.8 18.2 ....	.		.	.	.	.	.		.	.	..
Design Optimization Course Total	46	3.783	76.1 15.2 4.3 2.2 .  2.2		.	.	.	.	.		.		.  .	.  .
Intermediate Fluid Dynamics 563 001	18	3.941	83.3 11.1 ....	.		5.6	.	.	.	.		.	.	..
Heat Transfer 564 001	34	3.650	41.2 35.3 8.8 2.9 ..	.		11.8	.	.	.	.		.	.	..
Special Topics-Mech Engr 601 051	4	***						.	.	.		.	.	..
Tissue Mechanics 615 001	5	***						.	.	.		.	.	..
Design & Anal-Manufact Sys 641 001	1	***						.	.	.		.	.	..
699 004	1	***						.	.	.		.	.	..
699 015	3	***						.	.	.		.	.	..
699 033	1	***						.	.	.		.	.	..
699 035	1	***						.	.	.		.	.	..
699 039	1	***						.	.	.		.	.	..
699 057	1	***						.	.	.		.	.	..
699 062	1	***						.	.	.		.	.	..
699 066	1	***						.	.	.		.	.	..
699 081	1	***						.	.	.		.	.	..
699 090	2	***						.	.	.		.	.	..
699 100	1	***						.	.	.		.	.	..
Advanced Independent Study Course Total	14	3.596	42.9 7.1 7.1 .  7.1 .		.	21.4	.	.	.		.	7.1	.	7.1 .
Grad Cooperative Educ Program 702 001	2	***						.	.	.		.	.	..
Modlng&Simlatn-Polymer Proc 718 003	2	***						.	.	.		.	.	..
Intro to Polymer Rheology 722 001	11	3.773	63.6 27.3 9.1 ...	.		.	.	.	.	.		.	.	..
739 001	12	3.958	91.7 8.3 ....	.		.	.	.	.	.		.	.	..
739 003	3	***						.	.	.		.	.	..
Advanced Robotics Course Total	15	3.967	93.3 6.7 .  .  .  .		.	.	.	.	.		.		.  .	.  .
Adv Comp Ctrl-Machines&Proc 747 003	4	***						.	.	.		.	.	..
759 001	25	3.792	68.0 20.0 4.0 4.0 ..	.		4.0	.	.	.	.		.	.	..
759 003	2	***						.	.	.		.	.	..
HPC for Apps in Engr Course Total	27	3.769	66.7 18.5 7.4 3.7 .  .		.	3.7	.	.	.		.		.  .	.  .
Topics in Thermodynamics 761 001	19	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
August 24, 2020														Page 144 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
EGR													
MECHANICAL ENGINEERING Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
612 M E Grades		GPA											
Heat Transfer I-Conduction 764 002	3	***						.	.	.	.	.	..
Chem Kinetics-Combust Sys 774 001	8	3.571	25.0 50.0 12.5 ...	.		12.5	.	.	.	.	.	.	..
Vacuum Technology 777 001	10	3.900	80.0 20.0 ....	.		.	.	.	.	.	.	.	..
790 004	3	***						.	.	.	.	.	..
790 015	5	***						.	.	.	.	.	..
790 020	1	***						.	.	.	.	.	..
790 022	2	***						.	.	.	.	.	..
790 027	1	***						.	.	.	.	.	..
790 028	1	***						.	.	.	.	.	..
790 034	2	***						.	.	.	.	.	..
790 035	2	***						.	.	.	.	.	..
790 039	1	***						.	.	.	.	.	..
790 041	2	***						.	.	.	.	.	..
790 048	2	***						.	.	.	.	.	..
790 051	3	***						.	.	.	.	.	..
790 054	1	***						.	.	.	.	.	..
790 056	3	***						.	.	.	.	.	..
790 057	9		......	.		22.2	11.1	.	.	66.7	.	.	..
790 066	1	***						.	.	.	.	.	..
790 069	1	***						.	.	.	.	.	..
790 072	2	***						.	.	.	.	.	..
790 073	2	***						.	.	.	.	.	..
790 077	1	***						.	.	.	.	.	..
790 079	1	***						.	.	.	.	.	..
790 080	3	***						.	.	.	.	.	..
790 081	1	***						.	.	.	.	.	..
Master's Research & Thesis Course Total	50		.  .  .  .  .  .		.	78.0	2.0	.	.	20.0		.  .	.  .
890 004	5	***						.	.	.	.	.	..
890 012	3	***						.	.	.	.	.	..
890 015	8		......	.		37.5	.	.	.	62.5	.	.	..
890 016	2	***						.	.	.	.	.	..
890 020	2	***						.	.	.	.	.	..
890 022	3	***						.	.	.	.	.	..
890 027	5	***						.	.	.	.	.	..
890 028	4	***						.	.	.	.	.	..
890 034	1	***						.	.	.	.	.	..
890 035	1	***						.	.	.	.	.	..
890 039	3	***						.	.	.	.	.	..
890 041	2	***						.	.	.	.	.	..
890 048	2	***						.	.	.	.	.	..
890 051	4	***						.	.	.	.	.	..
890 053	1	***						.	.	.	.	.	..
890 054	3	***						.	.	.	.	.	..
August 24, 2020													Page 145 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
EGR													
MECHANICAL ENGINEERING Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
612 M E Grades		GPA											
890 056	3	***						.	.	.	.	.	..
890 062	3	***						.	.	.	.	.	..
890 064	3	***						.	.	.	.	.	..
890 065	1	***						.	.	.	.	.	..
890 066	3	***						.	.	.	.	.	..
890 068	5	***						.	.	.	.	.	..
890 070	2	***						.	.	.	.	.	..
890 075	1	***						.	.	.	.	.	..
890 077	5	***						.	.	.	.	.	..
890 079	1	***						.	.	.	.	.	..
890 080	1	***						.	.	.	.	.	..
890 081	5	***						.	.	.	.	.	..
890 082	1	***						.	.	.	.	.	..
890 086	3	***						.	.	.	.	.	..
890 087	1	***						.	.	.	.	.	..
890 095	1	***						.	.	.	.	.	..
PhD Research and Thesis Course Total	88		.  .  .  .  .  .		.	71.6	.	.	.	28.4		.  .	.  .
Spec Adv Topics-Mech Engr 964 001	14	3.893	85.7 7.1 7.1 ...	.		.	.	.	.	.	.	.	..
990 004	2	***						.	.	.	.	.	..
990 016	2	***						.	.	.	.	.	..
990 020	2	***						.	.	.	.	.	..
990 022	1	***						.	.	.	.	.	..
990 035	1	***						.	.	.	.	.	..
990 039	2	***						.	.	.	.	.	..
990 041	1	***						.	.	.	.	.	..
990 051	2	***						.	.	.	.	.	..
990 053	2	***						.	.	.	.	.	..
990 054	2	***						.	.	.	.	.	..
990 062	1	***						.	.	.	.	.	..
990 068	1	***						.	.	.	.	.	..
990 070	5	***						.	.	.	.	.	..
990 073	1	***						.	.	.	.	.	..
990 078	1	***						.	.	.	.	.	..
990 082	1	***						.	.	.	.	.	..
990 084	1	***						.	.	.	.	.	..
990 085	1	***						.	.	.	.	.	..
Dissertator Research&Thesis Course Total	29		.  .  .  .  .  .		.	89.7	.	.	.	10.3		.  .	.  .
999 062	1	***						.	.	.	.	.	..
999 078	1	***						.	.	.	.	.	..
Advanced Independent Study Course Total	2	***											
August 24, 2020													Page 146 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison									
""			(Non-Cross Listed)									
EGR												
MECHANICAL ENGINEERING Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
612 M E	Grades	GPA										
612 M E Dept. Total	2887	3.640	43.6 22.4 11.1 2.1 0.7 0.4	0.1	17.5	0.4	0.1	.	1.4	0.1	0.0	0.1 .
Summary by Level	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA612 M E	Grades											
Freshmen	35	3.750	51.4 14.3 14.3 .  .  .	.	20.0	.	.	.	.		.  .	.  .
Sophomore	256	3.596	39.8 25.4 15.2 2.0 0.4 .	0.4	16.8	.	.	.	.		.  .	.  .
Junior	640	3.611	40.8 28.6 12.3 1.9 0.3 0.5	0.2	15.2	0.3	.	.	.		.  .	.  .
Senior	1467	3.647	46.8 22.4 11.9 2.1 0.5 0.5	.	14.9	0.5	.	.	.	0.2	0.1	.  .
Undergraduates	2398	3.634	44.5 24.2 12.4 2.0 0.5 0.4	0.1	15.3	0.4	.	.	.	0.1	0.0	.  .
Special	46	2.942	21.7 19.6 17.4 19.6 15.2 4.3	.	2.2	.	.	.	.		.  .	.  .
Graduate	503	3.800	36.2 11.5 3.0 0.8 0.2 .	.	39.0	0.6	0.4	.	7.8	0.2	.	0.4 .
Dept. Total	2947	3.640	42.8 22.0 10.9 2.1 0.6 0.4	0.1	19.1	0.4	0.1	.	1.3	0.1	0.0	0.1 .
August 24, 2020												Page 147 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204		Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison											
""		(Non-Cross Listed)											
EGR													
MATERIALS SCI AND ENGINEERI Section #	Ave	A AB B BC C D F			S/SD	U/UD	CR	N	P		I	NW	NR Other
636 M S & E Grades	GPA												
Cooperative Education Prog 1 001 4	***						.	.	.		.	.	..
299 008 11	4.000	100.0 ......			.	.	.	.	.		.	.	..
299 010 1	***						.	.	.		.	.	..
299 012 3	***						.	.	.		.	.	..
Independent Study Course Total 15	3.985	93.3 6.7 .  .  .  .  .			.	.	.	.		.		.  .	.  .
Thermodynamics of Materials 330 001 16	3.429	25.0 25.0 37.5 ....			6.3	6.3	.	.	.		.	.	..
Transport Phenom-Materials 331 001 34	3.200	26.5 8.8 44.1 2.9 2.9 .2.9			8.8	2.9	.	.	.		.	.	..
Microprocessing-Materials 333 001 42	3.235	33.3 14.3 16.7 4.8 4.8 7.1 .			16.7	2.4	.	.	.		.	.	..
350 001 65	3.833	64.6 24.6 3.1 ....			7.7	.	.	.	.		.	.	..
350 002 55	3.778	58.2 36.4 3.6 ....			1.8	.	.	.	.		.	.	..
Intro to Materials Science Course Total 120	3.807	61.7 30.0 3.3 .  .  .  .			5.0	.	.	.		.		.  .	.  .
Transformation of Solids 352 001 44	3.179	13.6 15.9 47.7 11.4 ...			11.4	.	.	.	.		.	.	..
Materials Laboratory II 361 001 40	3.959	85.0 7.5 .....			5.0	.	.	.	.		2.5	.	..
Polymeric Materials 421 001 76	3.493	22.4 48.7 17.1 1.3 1.3 ..			9.2	.	.	.	.		.	.	..
Intro Thin-Film Deposition 434 001 8	3.500	87.5 .....12.5			.	.	.	.	.		.	.	..
Deformation of Solids 441 001 36	3.531	36.1 22.2 30.6 ....			11.1	.	.	.	.		.	.	..
Welding Metallurgy 462 001 14	3.643	50.0 28.6 21.4 ....			.	.	.	.	.		.	.	..
Capstone Project II 471 001 44	3.964	90.9 2.3 2.3 ....			4.5	.	.	.	.		.	.	..
Rock Mechanics 474 002 3	***						.	.	.		.	.	..
Thermodynamics of Solids 530 001 24	3.478	37.5 25.0 25.0 8.3 ...			4.2	.	.	.	.		.	.	..
Structure of Materials 551 001 22	3.750	45.5 45.5 .....			9.1	.	.	.	.		.	.	..
Nanomaterials & Nanotechnology 553 001 25	3.565	32.0 44.0 12.0 4.0 ...			8.0	.	.	.	.		.	.	..
Properties-Solid Surfaces 570 001 11	3.850	63.6 27.3 .....			9.1	.	.	.	.		.	.	..
Mesoscale Modeling of Material 660 001 6	3.917	83.3 16.7 .....			.	.	.	.	.		.	.	..
699 001 1	***						.	.	.		.	.	..
699 004 1	***						.	.	.		.	.	..
699 008 1	***						.	.	.		.	.	..
699 024 1	***						.	.	.		.	.	..
699 026 1	***						.	.	.		.	.	..
699 035 1	***						.	.	.		.	.	..
Independent Study Course Total 6	3.923	66.7 16.7 .  .  .  .  .			.	.	.	.		.	16.7	.	.  .
790 001 2	***						.	.	.		.	.	..
790 003 2	***						.	.	.		.	.	..
790 005 2	***						.	.	.		.	.	..
790 008 4	***						.	.	.		.	.	..
790 009 2	***						.	.	.		.	.	..
790 011 1	***						.	.	.		.	.	..
790 012 2	***						.	.	.		.	.	..
790 013 2	***						.	.	.		.	.	..
790 014 2	***						.	.	.		.	.	..
790 020 3	***						.	.	.		.	.	..
August 24, 2020													Page 148 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204		Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison										
""		(Non-Cross Listed)										
EGR												
MATERIALS SCI AND ENGINEERI Section #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
636 M S & E Grades	GPA											
790 021 1	***						.	.	.	.	.	..
790 026 1	***						.	.	.	.	.	..
790 032 2	***						.	.	.	.	.	..
790 034 1	***						.	.	.	.	.	..
790 039 1	***						.	.	.	.	.	..
Master's Research or Thesis Course Total 28		.  .  .  .  .  .		.	82.1	.	.	.	17.9		.  .	.  .
803 001 2	***						.	.	.	.	.	..
803 002 8	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
803 005 5	***						.	.	.	.	.	..
803 007 3	***						.	.	.	.	.	..
803 008 8	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
803 009 2	***						.	.	.	.	.	..
803 011 5	***						.	.	.	.	.	..
803 027 8	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
Spec Topics-Materials Sci Course Total 41	4.000	87.8 .  .  .  .  .		.	12.2	.	.	.	.		.  .	.  .
890 001 2	***						.	.	.	.	.	..
